Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fibonnaci, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 17, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 1, Columna: 21, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 23, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 25, Tabla: N/A
Token: IF, Lexema: IF, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 2, Columna: 8, Tabla: N/A
Token: ID, Lexema: n, Línea: 2, Columna: 10, Tabla: VARIABLES
Token: LTE, Lexema: LTE, Línea: 2, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 2, Columna: 15, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 2, Columna: 17, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 2, Columna: 19, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 3, Columna: 16, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 5, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 5, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fibonnaci, Línea: 5, Columna: 12, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 5, Columna: 22, Tabla: N/A
Token: ID, Lexema: n, Línea: 5, Columna: 24, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 5, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 5, Columna: 28, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 5, Columna: 30, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 5, Columna: 32, Tabla: N/A
Token: ID, Lexema: fibonnaci, Línea: 5, Columna: 34, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 5, Columna: 44, Tabla: N/A
Token: ID, Lexema: n, Línea: 5, Columna: 46, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 5, Columna: 48, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 5, Columna: 50, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 5, Columna: 52, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 5, Columna: 54, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 6, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 8, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: test, Línea: 8, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 8, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 8, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 9, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: matrix, Línea: 9, Columna: 9, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 9, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 9, Columna: 16, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 9, Columna: 17, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 9, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 9, Columna: 19, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 9, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 22, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 10, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 10, Columna: 9, Tabla: N/A
Token: INT, Lexema: INT, Línea: 10, Columna: 11, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 10, Columna: 15, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 10, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 10, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 10, Columna: 18, Tabla: N/A
Token: ID, Lexema: i, Línea: 10, Columna: 20, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 10, Columna: 22, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 10, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 10, Columna: 25, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 10, Columna: 27, Tabla: N/A
Token: ID, Lexema: i, Línea: 10, Columna: 29, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 10, Columna: 31, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 10, Columna: 33, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 11, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 11, Columna: 13, Tabla: N/A
Token: INT, Lexema: INT, Línea: 11, Columna: 15, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: j, Línea: 11, Columna: 19, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 11, Columna: 20, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 11, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 11, Columna: 22, Tabla: N/A
Token: ID, Lexema: j, Línea: 11, Columna: 24, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 11, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 11, Columna: 28, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 11, Columna: 30, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 11, Columna: 32, Tabla: N/A
Token: ID, Lexema: j, Línea: 11, Columna: 34, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 11, Columna: 36, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 11, Columna: 38, Tabla: N/A
Token: ID, Lexema: matrix, Línea: 12, Columna: 13, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 12, Columna: 19, Tabla: N/A
Token: ID, Lexema: i, Línea: 12, Columna: 20, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 12, Columna: 21, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 12, Columna: 22, Tabla: N/A
Token: ID, Lexema: j, Línea: 12, Columna: 23, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 12, Columna: 24, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 12, Columna: 26, Tabla: N/A
Token: ID, Lexema: fibonnaci, Línea: 12, Columna: 28, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 12, Columna: 38, Tabla: N/A
Token: ID, Lexema: i, Línea: 12, Columna: 40, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 12, Columna: 42, Tabla: N/A
Token: ID, Lexema: j, Línea: 12, Columna: 44, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 12, Columna: 46, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 12, Columna: 48, Tabla: N/A
Token: IF, Lexema: IF, Línea: 14, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 14, Columna: 16, Tabla: N/A
Token: ID, Lexema: matrix, Línea: 14, Columna: 18, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 14, Columna: 24, Tabla: N/A
Token: ID, Lexema: i, Línea: 14, Columna: 25, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 14, Columna: 26, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 14, Columna: 27, Tabla: N/A
Token: ID, Lexema: j, Línea: 14, Columna: 28, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 14, Columna: 29, Tabla: N/A
Token: GT, Lexema: GT, Línea: 14, Columna: 31, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 14, Columna: 33, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 14, Columna: 35, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 14, Columna: 37, Tabla: N/A
Token: BREAK, Lexema: BREAK, Línea: 15, Columna: 17, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 15, Columna: 23, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 16, Columna: 13, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 17, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 17, Columna: 19, Tabla: N/A
Token: ID, Lexema: matrix, Línea: 17, Columna: 21, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 17, Columna: 27, Tabla: N/A
Token: ID, Lexema: i, Línea: 17, Columna: 28, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 17, Columna: 29, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 17, Columna: 30, Tabla: N/A
Token: ID, Lexema: j, Línea: 17, Columna: 31, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 17, Columna: 32, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 17, Columna: 34, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 17, Columna: 36, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 18, Columna: 9, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 19, Columna: 5, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 20, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 22, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 22, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 22, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 22, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 22, Columna: 15, Tabla: N/A
Token: ID, Lexema: test, Línea: 23, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 23, Columna: 10, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 23, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 23, Columna: 14, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 24, Columna: 1, Tabla: N/A
