Token: VOID, Lexema: VOID, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 1, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 2, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 3, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 3, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 3, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 14, Tabla: N/A
Token: INT, Lexema: INT, Línea: 4, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 4, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 4, Columna: 14, Tabla: N/A
Token: ID, Lexema: a, Línea: 4, Columna: 16, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 4, Columna: 18, Tabla: N/A
Token: ID, Lexema: b, Línea: 4, Columna: 20, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 21, Tabla: N/A
Token: INT, Lexema: INT, Línea: 5, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resta, Línea: 5, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 5, Columna: 15, Tabla: N/A
Token: ID, Lexema: a, Línea: 5, Columna: 17, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 5, Columna: 19, Tabla: N/A
Token: ID, Lexema: b, Línea: 5, Columna: 21, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 5, Columna: 22, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 6, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 11, Tabla: N/A
Token: ID, Lexema: suma, Línea: 6, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 19, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 11, Tabla: N/A
Token: ID, Lexema: resta, Línea: 7, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 20, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 8, Columna: 1, Tabla: N/A
