Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: simple, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 12, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 14, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x, Línea: 1, Columna: 18, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 20, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 22, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x, Línea: 2, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 14, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 3, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 5, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: testSimple, Línea: 5, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 5, Columna: 17, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 5, Columna: 19, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 5, Columna: 21, Tabla: N/A
Token: INT, Lexema: INT, Línea: 6, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 6, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 6, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 7, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 11, Tabla: N/A
Token: ID, Lexema: simple, Línea: 7, Columna: 13, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 20, Tabla: N/A
Token: ID, Lexema: a, Línea: 7, Columna: 22, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 26, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 8, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 8, Columna: 11, Tabla: N/A
Token: ID, Lexema: a, Línea: 8, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 17, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 9, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 9, Columna: 11, Tabla: N/A
Token: ID, Lexema: b, Línea: 9, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 9, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 17, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 10, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 12, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 12, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 12, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 12, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 12, Columna: 15, Tabla: N/A
Token: ID, Lexema: testSimple, Línea: 13, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 13, Columna: 16, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 13, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 13, Columna: 20, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 14, Columna: 1, Tabla: N/A
