Token: VOID, Lexema: VOID, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 1, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 15, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 2, Columna: 9, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 11, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 2, Columna: 15, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 2, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 20, Tabla: N/A
Token: ID, Lexema: i, Línea: 2, Columna: 22, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 2, Columna: 24, Tabla: N/A
Token: INT_LITERAL, Lexema: 7, Línea: 2, Columna: 26, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 27, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 2, Columna: 29, Tabla: N/A
Token: ID, Lexema: i, Línea: 2, Columna: 31, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 2, Columna: 33, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 2, Columna: 35, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 3, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 3, Columna: 15, Tabla: N/A
Token: ID, Lexema: i, Línea: 3, Columna: 17, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 3, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 20, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 5, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 5, Columna: 1, Tabla: N/A
