Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 1, Columna: 16, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 1, Columna: 17, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 19, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 1, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 25, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 27, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 2, Columna: 12, Tabla: VARIABLES
Token: TIMES, Lexema: TIMES, Línea: 2, Columna: 14, Tabla: N/A
Token: ID, Lexema: b, Línea: 2, Columna: 16, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 17, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 3, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 5, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 5, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 5, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 5, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 5, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 6, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 6, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 19, Tabla: N/A
Token: ID, Lexema: suma, Línea: 6, Columna: 21, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 6, Columna: 28, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 6, Columna: 29, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 6, Columna: 31, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 33, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 34, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 11, Tabla: N/A
Token: ID, Lexema: resultado, Línea: 7, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 24, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 8, Columna: 1, Tabla: N/A
