Token: VOID, Lexema: VOID, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 1, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 2, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 14, Tabla: N/A
Token: DO, Lexema: DO, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 3, Columna: 8, Tabla: N/A
Token: INT, Lexema: INT, Línea: 4, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: j, Línea: 4, Columna: 13, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 4, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 4, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 18, Tabla: N/A
Token: WHILE, Lexema: WHILE, Línea: 5, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 5, Columna: 15, Tabla: N/A
Token: ID, Lexema: j, Línea: 5, Columna: 17, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 5, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 5, Columna: 21, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 5, Columna: 22, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 5, Columna: 24, Tabla: N/A
Token: INT, Lexema: INT, Línea: 6, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: valor, Línea: 6, Columna: 17, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 23, Tabla: N/A
Token: ID, Lexema: i, Línea: 6, Columna: 25, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 6, Columna: 27, Tabla: N/A
Token: ID, Lexema: j, Línea: 6, Columna: 29, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 30, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 7, Columna: 13, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 19, Tabla: N/A
Token: ID, Lexema: valor, Línea: 7, Columna: 21, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 27, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 28, Tabla: N/A
Token: ID, Lexema: j, Línea: 8, Columna: 13, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 8, Columna: 15, Tabla: N/A
Token: ID, Lexema: j, Línea: 8, Columna: 17, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 8, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 8, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 22, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 9, Columna: 9, Tabla: N/A
Token: ID, Lexema: i, Línea: 10, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 10, Columna: 11, Tabla: N/A
Token: ID, Lexema: i, Línea: 10, Columna: 13, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 10, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 10, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 10, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 11, Columna: 5, Tabla: N/A
Token: WHILE, Lexema: WHILE, Línea: 11, Columna: 7, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 11, Columna: 13, Tabla: N/A
Token: ID, Lexema: i, Línea: 11, Columna: 15, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 11, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 11, Columna: 19, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 11, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 11, Columna: 21, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 12, Columna: 1, Tabla: N/A
