Token: VOID, Lexema: VOID, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 1, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 12, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 14, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 16, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 2, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 14, Tabla: N/A
Token: INT, Lexema: INT, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: y, Línea: 3, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 3, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 3, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 14, Tabla: N/A
Token: INT, Lexema: INT, Línea: 4, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 4, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 4, Columna: 19, Tabla: N/A
Token: ID, Lexema: x, Línea: 4, Columna: 21, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 4, Columna: 23, Tabla: N/A
Token: ID, Lexema: y, Línea: 4, Columna: 25, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 26, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 6, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 11, Tabla: N/A
Token: ID, Lexema: resultado, Línea: 6, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 25, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 7, Columna: 1, Tabla: N/A
