Token: FLOAT, Lexema: FLOAT, Línea: 1, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: mi, Línea: 1, Columna: 8, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 12, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 14, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: dif, Línea: 1, Columna: 18, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 1, Columna: 21, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 1, Columna: 23, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: otra, Línea: 1, Columna: 28, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 33, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 35, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: otra, Línea: 2, Columna: 6, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: var, Línea: 2, Columna: 16, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 2, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 21, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 23, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: var2, Línea: 2, Columna: 27, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 31, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 2, Columna: 32, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 2, Columna: 33, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 2, Columna: 34, Tabla: N/A
Token: TIMES, Lexema: TIMES, Línea: 2, Columna: 35, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 2, Columna: 36, Tabla: N/A
Token: POW, Lexema: POW, Línea: 2, Columna: 37, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 2, Columna: 39, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 40, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 3, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: str, Línea: 3, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 3, Columna: 12, Tabla: N/A
Token: STRING_LITERAL, Lexema: Hola_$~&@/$&_ʅ_mundo, Línea: 3, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 35, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 4, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 4, Columna: 7, Tabla: N/A
Token: INT, Lexema: INT, Línea: 4, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 4, Columna: 13, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 4, Columna: 14, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 4, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 16, Tabla: N/A
Token: ID, Lexema: i, Línea: 4, Columna: 17, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 4, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 4, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 20, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 4, Columna: 21, Tabla: N/A
Token: ID, Lexema: i, Línea: 4, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 4, Columna: 25, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 4, Columna: 27, Tabla: N/A
Token: DO, Lexema: DO, Línea: 5, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 5, Columna: 6, Tabla: N/A
Token: ID, Lexema: var2, Línea: 6, Columna: 4, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 9, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 6, Columna: 11, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 12, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 7, Columna: 4, Tabla: N/A
Token: WHILE, Lexema: WHILE, Línea: 7, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 12, Tabla: N/A
Token: ID, Lexema: var2, Línea: 7, Columna: 14, Tabla: VARIABLES
Token: GT, Lexema: GT, Línea: 7, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 122, Línea: 7, Columna: 19, Tabla: N/A
Token: AND, Lexema: AND, Línea: 7, Columna: 23, Tabla: N/A
Token: INT_LITERAL, Lexema: 12, Línea: 7, Columna: 25, Tabla: N/A
Token: GT, Lexema: GT, Línea: 7, Columna: 27, Tabla: N/A
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 29, Tabla: N/A
Token: INT_LITERAL, Lexema: 34, Línea: 7, Columna: 31, Tabla: N/A
