===== TABLA DE VARIABLES =====
Lexema: atun, Tipo: ID, Linea: 20, Columna: 22, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: atun, Variable: Si, Inicializada: No, Utilizada: No
Lexema: a, Tipo: ID, Linea: 2, Columna: 21, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: a, Variable: Si, Inicializada: No, Utilizada: No
Lexema: b, Tipo: ID, Linea: 2, Columna: 25, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: b, Variable: Si, Inicializada: No, Utilizada: No
Lexema: temp, Tipo: ID, Linea: 11, Columna: 26, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: temp, Variable: Si, Inicializada: No, Utilizada: No
Lexema: resultado, Tipo: ID, Linea: 13, Columna: 12, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: resultado, Variable: Si, Inicializada: No, Utilizada: No
Lexema: d, Tipo: ID, Linea: 20, Columna: 29, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: d, Variable: Si, Inicializada: No, Utilizada: No
Lexema: k, Tipo: ID, Linea: 28, Columna: 17, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: k, Variable: Si, Inicializada: No, Utilizada: No
Lexema: n, Tipo: ID, Linea: 12, Columna: 21, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: n, Variable: Si, Inicializada: No, Utilizada: No
Lexema: r, Tipo: ID, Linea: 20, Columna: 32, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: r, Variable: Si, Inicializada: No, Utilizada: No
Lexema: resultado1, Tipo: ID, Linea: 21, Columna: 13, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: resultado1, Variable: Si, Inicializada: No, Utilizada: No
Lexema: resultado2, Tipo: ID, Linea: 24, Columna: 13, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: resultado2, Variable: Si, Inicializada: No, Utilizada: No
Lexema: recurse, Tipo: ID, Linea: 12, Columna: 25, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: recurse, Variable: Si, Inicializada: No, Utilizada: No
Lexema: pepe, Tipo: ID, Linea: 23, Columna: 22, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: pepe, Variable: Si, Inicializada: No, Utilizada: No
Lexema: testBasico, Tipo: ID, Linea: 33, Columna: 5, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0), Valor: testBasico, Variable: Si, Inicializada: No, Utilizada: No

===== TABLA DE FUNCIONES =====

===== TABLA DE CONSTANTES =====

===== TABLA DE PALABRAS RESERVADAS =====
Lexema: void, Tipo: VOID, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: read, Tipo: READ, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: bool, Tipo: BOOL, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: string, Tipo: STRING, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: break, Tipo: BREAK, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: for, Tipo: FOR, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: false, Tipo: FALSE, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: main, Tipo: MAIN, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: elif, Tipo: ELIF, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: do, Tipo: DO, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: while, Tipo: WHILE, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: float, Tipo: FLOAT, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: int, Tipo: INT, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: switch, Tipo: SWITCH, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: default, Tipo: DEFAULT, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: else, Tipo: ELSE, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: char, Tipo: CHAR, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: true, Tipo: TRUE, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: if, Tipo: IF, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: write, Tipo: WRITE, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
Lexema: return, Tipo: RETURN, Linea: 0, Columna: 0, Alcance: 0, Scope: global, Tipo_Scope: GLOBAL, Ruta_Scope: GLOBAL:global(0)
