Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: sumarDos, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 14, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 16, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x, Línea: 1, Columna: 20, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 22, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 24, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 19, Tabla: N/A
Token: ID, Lexema: x, Línea: 2, Columna: 21, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 2, Columna: 23, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 2, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 26, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 3, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 21, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 6, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 6, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 6, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: num, Línea: 7, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 13, Tabla: N/A
Token: ID, Lexema: sumarDos, Línea: 7, Columna: 15, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 24, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 7, Columna: 26, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 29, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 30, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 8, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 8, Columna: 11, Tabla: N/A
Token: ID, Lexema: num, Línea: 8, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 9, Columna: 1, Tabla: N/A
