Token: VOID, Lexema: VOID, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 1, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 15, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 2, Columna: 9, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 11, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: k, Línea: 2, Columna: 15, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 2, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 20, Tabla: N/A
Token: ID, Lexema: k, Línea: 2, Columna: 22, Tabla: VARIABLES
Token: LTE, Lexema: LTE, Línea: 2, Columna: 24, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 2, Columna: 27, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 28, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 2, Columna: 30, Tabla: N/A
Token: ID, Lexema: k, Línea: 2, Columna: 32, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 2, Columna: 34, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 2, Columna: 36, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 3, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 3, Columna: 15, Tabla: N/A
Token: ID, Lexema: k, Línea: 3, Columna: 17, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 3, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 20, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 5, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 5, Columna: 1, Tabla: N/A
