Token: FLOAT, Lexema: FLOAT, Línea: 3, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: func1, Línea: 3, Columna: 8, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 3, Columna: 14, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 3, Columna: 16, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x22, Línea: 3, Columna: 21, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 3, Columna: 24, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 3, Columna: 25, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x23, Línea: 3, Columna: 30, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 3, Columna: 34, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 3, Columna: 37, Tabla: N/A
Token: FLOAT, Lexema: FLOAT, Línea: 5, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: z, Línea: 5, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 5, Columna: 9, Tabla: N/A
Token: MINUS, Lexema: MINUS, Línea: 5, Columna: 10, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 0.01, Línea: 5, Columna: 11, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 5, Columna: 15, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 6, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x24, Línea: 6, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 10, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 6, Columna: 11, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 14, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 7, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miChar, Línea: 7, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 13, Tabla: N/A
Token: CHAR_LITERAL, Lexema: !, Línea: 7, Columna: 14, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 17, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 8, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miChar2, Línea: 8, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 8, Columna: 14, Tabla: N/A
Token: CHAR_LITERAL, Lexema: !, Línea: 8, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 18, Tabla: N/A
Token: INT, Lexema: INT, Línea: 9, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x30, Línea: 9, Columna: 6, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 9, Columna: 9, Tabla: N/A
Token: MINUS, Lexema: MINUS, Línea: 9, Columna: 10, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 9, Columna: 11, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 12, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 10, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x40, Línea: 10, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 10, Columna: 10, Tabla: N/A
Token: FALSE, Lexema: false, Línea: 10, Columna: 11, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 10, Columna: 14, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 11, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x50, Línea: 11, Columna: 7, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 11, Columna: 10, Tabla: N/A
Token: INT_LITERAL, Lexema: 1000, Línea: 11, Columna: 11, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 11, Columna: 15, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 11, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 1000, Línea: 11, Columna: 17, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 11, Columna: 21, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 11, Columna: 23, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 11, Columna: 25, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 11, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 11, Columna: 27, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 11, Columna: 28, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 11, Columna: 29, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 11, Columna: 30, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 11, Columna: 31, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 11, Columna: 32, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 12, Columna: 2, Tabla: PALABRAS_RESERVADAS
