Token: INT, Lexema: INT, Línea: 2, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 2, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 2, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 2, Columna: 16, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 2, Columna: 17, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 19, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 2, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 2, Columna: 25, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 2, Columna: 27, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 3, Columna: 12, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 3, Columna: 14, Tabla: N/A
Token: ID, Lexema: b, Línea: 3, Columna: 16, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 6, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: test, Línea: 6, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 6, Columna: 15, Tabla: N/A
Token: ID, Lexema: x, Línea: 7, Columna: 5, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 7, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 7, Columna: 9, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 11, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 8, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 12, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 9, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 11, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 11, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 11, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 11, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 11, Columna: 15, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 12, Columna: 1, Tabla: N/A
