Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 1, Columna: 16, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 1, Columna: 17, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 19, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 1, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 25, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 27, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 19, Tabla: N/A
Token: ID, Lexema: a, Línea: 2, Columna: 21, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 2, Columna: 23, Tabla: N/A
Token: ID, Lexema: b, Línea: 2, Columna: 25, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 27, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 3, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 22, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 6, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 6, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 6, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 7, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 7, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 8, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 8, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 8, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 8, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 14, Tabla: N/A
Token: INT, Lexema: INT, Línea: 9, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: arbol, Línea: 9, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 9, Columna: 15, Tabla: N/A
Token: ID, Lexema: a, Línea: 9, Columna: 17, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 9, Columna: 19, Tabla: N/A
Token: ID, Lexema: b, Línea: 9, Columna: 21, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 22, Tabla: N/A
Token: INT, Lexema: INT, Línea: 10, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: planta, Línea: 10, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 10, Columna: 16, Tabla: N/A
Token: ID, Lexema: a, Línea: 10, Columna: 18, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 10, Columna: 20, Tabla: N/A
Token: ID, Lexema: b, Línea: 10, Columna: 22, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 10, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 11, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 11, Columna: 11, Tabla: N/A
Token: ID, Lexema: arbol, Línea: 11, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 11, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 11, Columna: 20, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 12, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 12, Columna: 11, Tabla: N/A
Token: ID, Lexema: planta, Línea: 12, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 12, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 12, Columna: 21, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 13, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 13, Columna: 11, Tabla: N/A
Token: ID, Lexema: suma, Línea: 13, Columna: 13, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 13, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 32, Línea: 13, Columna: 20, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 13, Columna: 22, Tabla: N/A
Token: INT_LITERAL, Lexema: 44, Línea: 13, Columna: 24, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 13, Columna: 27, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 13, Columna: 29, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 13, Columna: 30, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 14, Columna: 1, Tabla: N/A
