Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: procesarArrays, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 20, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 22, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 1, Columna: 26, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 28, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 30, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: matriz, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 2, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 2, Columna: 16, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 2, Columna: 17, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 2, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 2, Columna: 19, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 2, Columna: 20, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 22, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 2, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 25, Tabla: N/A
Token: INT, Lexema: INT, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: vector, Línea: 3, Columna: 9, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 3, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 3, Columna: 16, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 3, Columna: 18, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 3, Columna: 20, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 3, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 23, Tabla: N/A
Token: INT, Lexema: INT, Línea: 4, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 4, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 4, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 4, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 14, Tabla: N/A
Token: INT, Lexema: INT, Línea: 5, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: j, Línea: 5, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 5, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 5, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 5, Columna: 14, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 9, Tabla: N/A
Token: ID, Lexema: i, Línea: 7, Columna: 11, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 7, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 14, Tabla: N/A
Token: ID, Lexema: i, Línea: 7, Columna: 16, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 7, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 7, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 19, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 7, Columna: 21, Tabla: N/A
Token: ID, Lexema: i, Línea: 7, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 25, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 7, Columna: 27, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 8, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 8, Columna: 13, Tabla: N/A
Token: ID, Lexema: j, Línea: 8, Columna: 15, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 8, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 8, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 18, Tabla: N/A
Token: ID, Lexema: j, Línea: 8, Columna: 20, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 8, Columna: 21, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 8, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 23, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 8, Columna: 25, Tabla: N/A
Token: ID, Lexema: j, Línea: 8, Columna: 27, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 29, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 8, Columna: 31, Tabla: N/A
Token: ID, Lexema: matriz, Línea: 9, Columna: 13, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 9, Columna: 19, Tabla: N/A
Token: ID, Lexema: i, Línea: 9, Columna: 20, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 9, Columna: 21, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 9, Columna: 22, Tabla: N/A
Token: ID, Lexema: j, Línea: 9, Columna: 23, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 9, Columna: 24, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 9, Columna: 26, Tabla: N/A
Token: ID, Lexema: i, Línea: 9, Columna: 28, Tabla: VARIABLES
Token: TIMES, Lexema: TIMES, Línea: 9, Columna: 30, Tabla: N/A
Token: ID, Lexema: j, Línea: 9, Columna: 32, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 9, Columna: 34, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 9, Columna: 36, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 37, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 10, Columna: 9, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 11, Columna: 5, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 13, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 13, Columna: 9, Tabla: N/A
Token: ID, Lexema: i, Línea: 13, Columna: 11, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 13, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 13, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 13, Columna: 14, Tabla: N/A
Token: ID, Lexema: i, Línea: 13, Columna: 16, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 13, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 13, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 13, Columna: 20, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 13, Columna: 22, Tabla: N/A
Token: ID, Lexema: i, Línea: 13, Columna: 24, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 13, Columna: 26, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 13, Columna: 28, Tabla: N/A
Token: ID, Lexema: vector, Línea: 14, Columna: 9, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 14, Columna: 15, Tabla: N/A
Token: ID, Lexema: i, Línea: 14, Columna: 16, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 14, Columna: 17, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 14, Columna: 19, Tabla: N/A
Token: ID, Lexema: i, Línea: 14, Columna: 21, Tabla: VARIABLES
Token: POW, Lexema: POW, Línea: 14, Columna: 23, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 14, Columna: 26, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 14, Columna: 27, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 15, Columna: 5, Tabla: N/A
Token: INT, Lexema: INT, Línea: 17, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 17, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 17, Columna: 14, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 17, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 17, Columna: 17, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 18, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 18, Columna: 9, Tabla: N/A
Token: ID, Lexema: i, Línea: 18, Columna: 11, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 18, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 18, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 18, Columna: 14, Tabla: N/A
Token: ID, Lexema: i, Línea: 18, Columna: 16, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 18, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 18, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 18, Columna: 19, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 18, Columna: 21, Tabla: N/A
Token: ID, Lexema: i, Línea: 18, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 18, Columna: 25, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 18, Columna: 27, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 19, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 19, Columna: 13, Tabla: N/A
Token: ID, Lexema: j, Línea: 19, Columna: 15, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 19, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 19, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 19, Columna: 18, Tabla: N/A
Token: ID, Lexema: j, Línea: 19, Columna: 20, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 19, Columna: 21, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 19, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 19, Columna: 23, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 19, Columna: 25, Tabla: N/A
Token: ID, Lexema: j, Línea: 19, Columna: 27, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 19, Columna: 29, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 19, Columna: 31, Tabla: N/A
Token: ID, Lexema: suma, Línea: 20, Columna: 13, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 20, Columna: 18, Tabla: N/A
Token: ID, Lexema: suma, Línea: 20, Columna: 20, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 20, Columna: 25, Tabla: N/A
Token: ID, Lexema: matriz, Línea: 20, Columna: 27, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 20, Columna: 33, Tabla: N/A
Token: ID, Lexema: i, Línea: 20, Columna: 34, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 20, Columna: 35, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 20, Columna: 36, Tabla: N/A
Token: ID, Lexema: j, Línea: 20, Columna: 37, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 20, Columna: 38, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 20, Columna: 39, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 21, Columna: 9, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 22, Columna: 5, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 24, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 24, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Suma de matriz:, Línea: 24, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 24, Columna: 31, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 24, Columna: 33, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 25, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 25, Columna: 11, Tabla: N/A
Token: ID, Lexema: suma, Línea: 25, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 25, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 25, Columna: 20, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 27, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 27, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 27, Columna: 16, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 28, Columna: 1, Tabla: N/A
