Token: DIVIDE, Lexema: DIVIDE, Línea: 1, Columna: 1, Tabla: N/A
Token: ID, Lexema: PRUEBA, Línea: 1, Columna: 7, Tabla: VARIABLES
Token: ID, Lexema: SIMPLE, Línea: 1, Columna: 14, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 1, Columna: 21, Tabla: N/A
Token: ID, Lexema: ARRAYS, Línea: 1, Columna: 23, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 1, Columna: 29, Tabla: N/A
Token: ID, Lexema: STRINGS, Línea: 1, Columna: 31, Tabla: VARIABLES
Token: ID, Lexema: Y, Línea: 1, Columna: 39, Tabla: VARIABLES
Token: ID, Lexema: CHARS, Línea: 1, Columna: 41, Tabla: VARIABLES
Token: DIVIDE, Lexema: DIVIDE, Línea: 2, Columna: 1, Tabla: N/A
Token: ID, Lexema: Sin, Línea: 2, Columna: 4, Tabla: VARIABLES
Token: ID, Lexema: recursi, Línea: 2, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: n, Línea: 2, Columna: 16, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 2, Columna: 17, Tabla: N/A
Token: ID, Lexema: sin, Línea: 2, Columna: 19, Tabla: VARIABLES
Token: ID, Lexema: funciones, Línea: 2, Columna: 23, Tabla: VARIABLES
Token: ID, Lexema: complejas, Línea: 2, Columna: 33, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 2, Columna: 42, Tabla: N/A
Token: ID, Lexema: solo, Línea: 2, Columna: 44, Tabla: VARIABLES
Token: ID, Lexema: lo, Línea: 2, Columna: 49, Tabla: VARIABLES
Token: ID, Lexema: b, Línea: 2, Columna: 52, Tabla: VARIABLES
Token: ID, Lexema: sico, Línea: 2, Columna: 54, Tabla: VARIABLES
Token: VOID, Lexema: VOID, Línea: 4, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: testArrays, Línea: 4, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 4, Columna: 17, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 4, Columna: 19, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 4, Columna: 21, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 5, Columna: 5, Tabla: N/A
Token: ID, Lexema: Arrays, Línea: 5, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: b, Línea: 5, Columna: 15, Tabla: VARIABLES
Token: ID, Lexema: sicos, Línea: 5, Columna: 17, Tabla: VARIABLES
Token: INT, Lexema: INT, Línea: 6, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: numeros, Línea: 6, Columna: 9, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 6, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 6, Columna: 17, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 6, Columna: 18, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 20, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 6, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 23, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 8, Columna: 5, Tabla: N/A
Token: ID, Lexema: Asignaciones, Línea: 8, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: simples, Línea: 8, Columna: 21, Tabla: VARIABLES
Token: ID, Lexema: numeros, Línea: 9, Columna: 5, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 9, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 9, Columna: 13, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 9, Columna: 14, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 9, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 9, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 20, Tabla: N/A
Token: ID, Lexema: numeros, Línea: 10, Columna: 5, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 10, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 10, Columna: 13, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 10, Columna: 14, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 10, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 20, Línea: 10, Columna: 18, Tabla: N/A
