Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: factorial, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 17, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 1, Columna: 21, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 23, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 25, Tabla: N/A
Token: IF, Lexema: IF, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 2, Columna: 8, Tabla: N/A
Token: ID, Lexema: n, Línea: 2, Columna: 10, Tabla: VARIABLES
Token: LTE, Lexema: LTE, Línea: 2, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 2, Columna: 15, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 2, Columna: 17, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 2, Columna: 19, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 1, Línea: 3, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 5, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 5, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 5, Columna: 12, Tabla: VARIABLES
Token: TIMES, Lexema: TIMES, Línea: 5, Columna: 14, Tabla: N/A
Token: ID, Lexema: factorial, Línea: 5, Columna: 16, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 5, Columna: 26, Tabla: N/A
Token: ID, Lexema: n, Línea: 5, Columna: 28, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 5, Columna: 30, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 5, Columna: 32, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 5, Columna: 34, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 5, Columna: 36, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 6, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 8, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: testLopps, Línea: 8, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 8, Columna: 16, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 18, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 8, Columna: 20, Tabla: N/A
Token: INT, Lexema: INT, Línea: 9, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x, Línea: 9, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 9, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 9, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 15, Tabla: N/A
Token: DO, Lexema: DO, Línea: 10, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 10, Columna: 8, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 11, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 11, Columna: 15, Tabla: N/A
Token: ID, Lexema: x, Línea: 11, Columna: 17, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 11, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 11, Columna: 21, Tabla: N/A
Token: ID, Lexema: x, Línea: 12, Columna: 9, Tabla: VARIABLES
