===== TABLA DE VARIABLES =====
Lexema: dif, Tipo: ID, Línea: 2, Columna: 19, Valor: dif, Variable: Sí
Lexema: otra, Tipo: ID, Línea: 3, Columna: 7, Valor: otra, Variable: Sí
Lexema: arr, Tipo: ID, Línea: 33, Columna: 3, Valor: arr, Variable: Sí
Lexema: var, Tipo: ID, Línea: 14, Columna: 13, Valor: var, Variable: Sí
Lexema: f, Tipo: ID, Línea: 41, Columna: 12, Valor: f, Variable: Sí
Lexema: i, Tipo: ID, Línea: 33, Columna: 10, Valor: i, Variable: Sí
Lexema: j, Tipo: ID, Línea: 5, Columna: 22, Valor: j, Variable: Sí
Lexema: b1, Tipo: ID, Línea: 37, Columna: 11, Valor: b1, Variable: Sí
Lexema: str, Tipo: ID, Línea: 4, Columna: 10, Valor: str, Variable: Sí
Lexema: var3, Tipo: ID, Línea: 18, Columna: 13, Valor: var3, Variable: Sí
Lexema: mi, Tipo: ID, Línea: 2, Columna: 9, Valor: mi, Variable: Sí
Lexema: var2, Tipo: ID, Línea: 8, Columna: 15, Valor: var2, Variable: Sí
Lexema: s1, Tipo: ID, Línea: 36, Columna: 10, Valor: s1, Variable: Sí
Lexema: miOtraFun, Tipo: ID, Línea: 28, Columna: 10, Valor: miOtraFun, Variable: Sí

===== TABLA DE FUNCIONES =====

===== TABLA DE CONSTANTES =====

===== TABLA DE PALABRAS RESERVADAS =====
Lexema: void, Tipo: VOID, Línea: 0, Columna: 0
Lexema: read, Tipo: READ, Línea: 0, Columna: 0
Lexema: bool, Tipo: BOOL, Línea: 0, Columna: 0
Lexema: string, Tipo: STRING, Línea: 0, Columna: 0
Lexema: break, Tipo: BREAK, Línea: 0, Columna: 0
Lexema: for, Tipo: FOR, Línea: 0, Columna: 0
Lexema: false, Tipo: FALSE, Línea: 0, Columna: 0
Lexema: main, Tipo: MAIN, Línea: 0, Columna: 0
Lexema: elif, Tipo: ELIF, Línea: 0, Columna: 0
Lexema: do, Tipo: DO, Línea: 0, Columna: 0
Lexema: while, Tipo: WHILE, Línea: 0, Columna: 0
Lexema: float, Tipo: FLOAT, Línea: 0, Columna: 0
Lexema: int, Tipo: INT, Línea: 0, Columna: 0
Lexema: switch, Tipo: SWITCH, Línea: 0, Columna: 0
Lexema: default, Tipo: DEFAULT, Línea: 0, Columna: 0
Lexema: else, Tipo: ELSE, Línea: 0, Columna: 0
Lexema: char, Tipo: CHAR, Línea: 0, Columna: 0
Lexema: true, Tipo: TRUE, Línea: 0, Columna: 0
Lexema: if, Tipo: IF, Línea: 0, Columna: 0
Lexema: write, Tipo: WRITE, Línea: 0, Columna: 0
Lexema: return, Tipo: RETURN, Línea: 0, Columna: 0
Lexema: case, Tipo: CASE, Línea: 0, Columna: 0
