Token: INT, Lexema: INT, Línea: 1, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: mi, Línea: 1, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: dif, Línea: 1, Columna: 16, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 1, Columna: 19, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 1, Columna: 21, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: otra, Línea: 1, Columna: 26, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 31, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 33, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: otra, Línea: 2, Columna: 6, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: var, Línea: 2, Columna: 16, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 2, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 21, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 23, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: var2, Línea: 2, Columna: 27, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 31, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 2, Columna: 32, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 2, Columna: 33, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 2, Columna: 34, Tabla: N/A
Token: TIMES, Lexema: TIMES, Línea: 2, Columna: 35, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 2, Columna: 36, Tabla: N/A
Token: POW, Lexema: POW, Línea: 2, Columna: 37, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 2, Columna: 39, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 40, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 3, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: str, Línea: 3, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 3, Columna: 12, Tabla: N/A
Token: STRING_LITERAL, Lexema: Hola_$~&@/$&_ʅ_mundo, Línea: 3, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 35, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 4, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 4, Columna: 7, Tabla: N/A
Token: INT, Lexema: INT, Línea: 4, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: k, Línea: 4, Columna: 13, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 4, Columna: 14, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 4, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 16, Tabla: N/A
Token: ID, Lexema: k, Línea: 4, Columna: 17, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 4, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 4, Columna: 19, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 4, Columna: 20, Tabla: N/A
Token: ID, Lexema: k, Línea: 4, Columna: 21, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 22, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 4, Columna: 23, Tabla: N/A
Token: ID, Lexema: k, Línea: 4, Columna: 25, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 4, Columna: 27, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 4, Columna: 29, Tabla: N/A
Token: DO, Lexema: DO, Línea: 5, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 5, Columna: 6, Tabla: N/A
Token: ID, Lexema: var2, Línea: 6, Columna: 4, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 9, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 6, Columna: 11, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 12, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 7, Columna: 4, Tabla: N/A
Token: WHILE, Lexema: WHILE, Línea: 7, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 12, Tabla: N/A
Token: ID, Lexema: var2, Línea: 7, Columna: 14, Tabla: VARIABLES
Token: GT, Lexema: GT, Línea: 7, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 122, Línea: 7, Columna: 19, Tabla: N/A
Token: AND, Lexema: AND, Línea: 7, Columna: 23, Tabla: N/A
Token: INT_LITERAL, Lexema: 12, Línea: 7, Columna: 25, Tabla: N/A
Token: GT, Lexema: GT, Línea: 7, Columna: 27, Tabla: N/A
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 29, Tabla: N/A
Token: INT_LITERAL, Lexema: 34, Línea: 7, Columna: 31, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 7, Columna: 33, Tabla: N/A
Token: INT_LITERAL, Lexema: 35, Línea: 7, Columna: 34, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 37, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 40, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 42, Tabla: N/A
Token: IF, Lexema: IF, Línea: 8, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 8, Columna: 7, Tabla: N/A
Token: ID, Lexema: var, Línea: 8, Columna: 9, Tabla: VARIABLES
Token: EQ, Lexema: EQ, Línea: 8, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 8, Columna: 14, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 16, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 8, Columna: 18, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 9, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 9, Columna: 10, Tabla: N/A
Token: STRING_LITERAL, Lexema: entra_al_if, Línea: 9, Columna: 12, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 9, Columna: 26, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 28, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 10, Columna: 4, Tabla: N/A
Token: IF, Lexema: IF, Línea: 11, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 11, Columna: 6, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 11, Columna: 8, Tabla: PALABRAS_RESERVADAS
Token: RPAREN, Lexema: RPAREN, Línea: 11, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 12, Columna: 4, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 13, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 13, Columna: 10, Tabla: N/A
Token: ID, Lexema: var, Línea: 13, Columna: 12, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 13, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 13, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 14, Columna: 4, Tabla: N/A
Token: ELSE, Lexema: ELSE, Línea: 15, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 15, Columna: 8, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 16, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 16, Columna: 10, Tabla: N/A
Token: ID, Lexema: var2, Línea: 16, Columna: 12, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 16, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 16, Columna: 19, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 18, Columna: 4, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 19, Columna: 3, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 20, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 1, Línea: 20, Columna: 9, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 20, Columna: 10, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 21, Columna: 3, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 23, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miOtraFun, Línea: 23, Columna: 7, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 23, Columna: 18, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 23, Columna: 21, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 23, Columna: 25, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 24, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: TRUE, Lexema: true, Línea: 24, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 24, Columna: 13, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 25, Columna: 3, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 28, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 28, Columna: 7, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 28, Columna: 12, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 28, Columna: 15, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 28, Columna: 18, Tabla: N/A
Token: INT, Lexema: INT, Línea: 29, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 29, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 29, Columna: 8, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 29, Columna: 9, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 29, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 30, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: arr, Línea: 30, Columna: 6, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 30, Columna: 9, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 30, Columna: 10, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 30, Columna: 12, Tabla: N/A
Token: ID, Lexema: i, Línea: 30, Columna: 13, Tabla: VARIABLES
Token: RBRACKET, Lexema: RBRACKET, Línea: 30, Columna: 14, Tabla: N/A
Token: LBRACKET, Lexema: LBRACKET, Línea: 30, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 30, Columna: 16, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 30, Columna: 17, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 30, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 30, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 30, Columna: 22, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 31, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b1, Línea: 31, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 31, Columna: 9, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 31, Columna: 10, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 31, Columna: 14, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 32, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: s1, Línea: 32, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 32, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: luna, Línea: 32, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 32, Columna: 18, Tabla: N/A
Token: read, Lexema: read, Línea: 33, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 33, Columna: 7, Tabla: N/A
Token: ID, Lexema: s1, Línea: 33, Columna: 9, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 33, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 33, Columna: 14, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 34, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 34, Columna: 8, Tabla: N/A
Token: ID, Lexema: b1, Línea: 34, Columna: 10, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 34, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 34, Columna: 15, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 35, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 35, Columna: 8, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 35, Columna: 10, Tabla: PALABRAS_RESERVADAS
Token: RPAREN, Lexema: RPAREN, Línea: 35, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 35, Columna: 17, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 36, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 36, Columna: 8, Tabla: N/A
Token: MINUS, Lexema: MINUS, Línea: 36, Columna: 10, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 6.7, Línea: 36, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 36, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 36, Columna: 17, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 38, Columna: 2, Tabla: N/A
