Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: carlos, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 12, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 14, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 1, Columna: 18, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 1, Columna: 19, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 21, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 1, Columna: 25, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 27, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 29, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 19, Tabla: N/A
Token: ID, Lexema: a, Línea: 2, Columna: 21, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 2, Columna: 23, Tabla: N/A
Token: ID, Lexema: b, Línea: 2, Columna: 25, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 27, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 3, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 22, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 1, Tabla: N/A
Token: INT, Lexema: INT, Línea: 6, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: factorial, Línea: 6, Columna: 5, Tabla: VARIABLES
