Token: FLOAT, Lexema: null, Línea: 4, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: func1, Línea: 4, Columna: 9, Tabla: VARIABLES
Token: LPAREN, Lexema: null, Línea: 4, Columna: 15, Tabla: N/A
Token: CHAR, Lexema: null, Línea: 4, Columna: 17, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x22, Línea: 4, Columna: 22, Tabla: VARIABLES
Token: COMMA, Lexema: null, Línea: 4, Columna: 25, Tabla: N/A
Token: CHAR, Lexema: null, Línea: 4, Columna: 26, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x22, Línea: 4, Columna: 31, Tabla: VARIABLES
Token: RPAREN, Lexema: null, Línea: 4, Columna: 35, Tabla: N/A
Token: LBLOCK, Lexema: null, Línea: 4, Columna: 38, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 4, Columna: 40, Tabla: N/A
Token: FLOAT, Lexema: null, Línea: 6, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: z, Línea: 6, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 6, Columna: 10, Tabla: N/A
Token: MINUS, Lexema: null, Línea: 6, Columna: 11, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 0.01, Línea: 6, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 6, Columna: 16, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 6, Columna: 18, Tabla: N/A
Token: CHAR, Lexema: null, Línea: 7, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: x22, Línea: 7, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 7, Columna: 11, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 7, Columna: 12, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 7, Columna: 15, Tabla: N/A
